Latitude,SqFtTotLiving,SqFt2ndFloor,Longitude,YrBuilt,SqFtFinBasement,SqFt1stFloor
47.3361183,3180,0,-122.1963986,1965,1590,1590
47.5098741,2200,0,-122.3619131,1945,810,1390
47.4375567,2525,1515,-122.1566841,2019,0,1010
47.5651462,1820,540,-122.3702516,2016,620,660
47.7303893,2310,0,-122.1841944,1967,0,2310
47.6288292,1970,0,-122.1157359,1965,640,1330
47.7716141,1750,0,-122.251946,1960,330,1420
47.4897861,1430,0,-122.2861955,1922,0,1020
47.4666141,1120,0,-122.281837,1944,0,1120
47.6250753,1540,770,-122.307618,1900,0,770
47.6776218,1550,0,-122.3582545,1921,0,1060
47.2862944,1730,0,-122.193943,1967,0,1730
47.7621314,1450,0,-122.3593023,1954,0,1450
47.6029458,2110,1100,-122.2997481,1903,0,1010
47.4948363,2190,1340,-122.2974114,2018,0,850
47.7476982,2220,0,-122.2836688,1952,940,1280
47.6770114,4130,1150,-122.2920511,2016,1150,1110
47.6891329,1090,0,-122.3381033,1910,0,1090
47.7629109,1820,0,-122.3427982,1953,0,1820
47.68933,1460,0,-122.3103736,1927,0,980
47.7201882,2190,0,-122.2265095,1963,770,1420
47.5076596,2500,1120,-122.3690812,2016,0,1380
47.6671459,1380,0,-122.2729987,1948,250,1130
47.7222751,1410,0,-122.1766422,1971,640,770
47.6978175,1450,480,-122.3467322,2018,470,500
47.6130839,1080,360,-122.2961829,2019,360,360
47.6841538,1290,430,-122.3764414,2018,430,430
47.5391529,730,0,-122.3853921,1918,0,730
47.6933319,1170,0,-122.3214806,1928,400,770
47.4435798,1320,0,-122.3289166,1944,0,1320
47.4824913,1710,0,-122.1579475,1969,0,1710
47.4367421,2487,1462,-122.1555014,2018,0,1025
47.4443773,2630,0,-122.3403618,1957,970,1660
47.346533,2550,740,-122.512997,1980,800,1010
47.6993824,3310,1810,-122.1619362,2019,0,1500
47.5758207,2410,0,-122.2332381,1963,550,1860
47.4894952,840,0,-122.205365,1948,0,840
47.6913957,2470,0,-122.3266659,1973,820,1650
47.5128402,960,0,-122.3330341,1949,0,960
47.6851313,2330,880,-122.2929268,1943,0,1450
47.7306887,1750,0,-122.354039,1963,570,1180
47.6893316,1950,720,-122.3911488,1925,0,1230
47.5336008,2900,1580,-122.1712622,2017,0,1320
47.4982517,2840,1360,-122.1525792,2018,0,1480
47.7667582,1430,0,-122.3428543,1965,0,1430
47.6989471,1840,0,-122.3893593,1924,920,920
47.7338013,1840,0,-122.1984112,1975,450,1390
47.5197778,1110,0,-122.3628991,1947,0,1110
47.6238001,4010,2150,-122.1065164,2016,0,1860
47.5862643,2820,0,-122.1166051,1963,440,2380
47.6705113,1370,670,-122.3252095,1915,0,700
47.4482425,3330,950,-122.3685489,1994,1060,1320
47.694424,1650,0,-122.377741,1956,700,950
